$78,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
$79,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
$80,0.99,0.99,1.00,1.00,0.99,0.99,1.00,1.00
$88,1.00,1.00,1.00,0.93,1.00,0.93,1.00,0.94
$89,1.00,0.97,0.97,1.00,0.97,1.00,1.00,0.97
$81,0.99,0.99,0.90,0.90,1.00,1.00,0.92,0.92
$86,1.00,1.00,0.83,0.83,0.66,0.66,1.00,1.00
$82,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
$83,1.00,1.00,0.98,0.98,1.00,1.00,1.00,1.00
$87,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
$85,0.65,0.65,0.97,0.97,0.97,0.97,0.91,0.91
$84,0.96,0.96,0.96,0.96,1.00,1.00,0.97,0.97
